thermal_shipper_temp_reading,room_temp_reading,room_humidity_reading
-3.208544602,11.23620357,67.69814293
3.420402884,38.52142919,22.49960968
4.491403462,31.95981825,67.61542827
5.6970842,27.95975453,23.10054685
0.534326484,14.68055921,74.74395282
-1.17232679,14.67983561,46.66651209
0.897238789,11.74250837,26.70357521
1.265931251,35.98528437,59.76326493
1.666234702,28.03345035,39.60841376
4.180887241,31.24217733,66.17017593
-2.470823862,7.617534829,56.07223317
1.45540767,39.09729556,69.35052319
-0.098164074,34.97327922,89.47255551
0.485818716,16.37017332,47.0688397
1.71579998,15.45474902,52.57208321
-9.706563005,5.502135296,46.32281907
1.035699563,19.12726729,60.48590161
4.079189307,25.74269295,22.60800475
-2.257986756,22.95835056,79.01549642
0.567151646,18.73687421,23.60490774
7.166127191,38.35558684,31.95740955
4.222675669,14.18481582,27.14559769
19.16612719,58.35558684,41.95740955
2.096483794,20.9908553,21.79794127
5.289545605,23.68209953,23.85193998
2.327550671,33.55527884,50.97074324
1.221728096,15.99021346,37.6996589
3.240847477,25.42703315,28.85758184
2.730971677,27.77243707,66.10938799
0.434462258,11.39351238,35.82783374
3.159238564,28.22634556,21.32644087
-0.825148287,15.11572371,49.28938486
1.635179079,11.95154779,41.73030944
5.131549887,38.46656612,42.30231019
4.830388161,38.96896099,51.16890197
0.034122566,34.25192044,66.82397491
0.181819646,19.13841308,63.1535384
0.880802594,12.93016342,85.60831269
2.588944507,30.5269908,56.24016664
1.717619924,23.20457481,53.07989368
1.63496397,13.66114705,34.93901047
1.65388404,24.8553073,72.87669022
2.039324244,11.03165563,29.85430433
2.145917207,37.27961206,54.37930229
2.623301525,17.76339945,49.49255389
-0.120813796,29.87566853,66.08106149
1.70664472,19.35133228,84.2335029
-1.096811824,25.60204064,86.2616914
3.874668316,26.40130838,31.7459487
1.391058676,15.54563367,38.32720528
16.35346356,99.08753883,96.8144724
4.547775685,33.2539847,56.27958337
4.347235002,38.18496825,51.71241978
2.108865973,36.84482051,69.74378167
4.304719672,27.93699936,62.13474668
2.837747304,37.65622705,87.94998381
-0.986649674,12.65477506,60.87822566
-2.433482248,15.87948587,52.61816784
0.396111847,11.35681867,57.99721535
2.221348716,19.75990992,76.59778717
1.937645168,21.66031869,62.88725397
2.910324358,18.14047095,65.2933664
16.35346356,99.08753883,96.8144724
0.730039539,20.7025998,63.28768391
1.37239275,18.42803529,46.61996738
1.570278997,26.28088249,68.39282189
1.265828959,14.22772675,66.16215779
6.806678719,34.06590942,20.96933449
3.352040725,12.23651931,52.71305078
4.860354353,39.6066081,72.0032522
3.573710874,33.16734308,54.93290204
-0.645860667,15.96147045,74.57347952
0.777321062,10.16566351,51.56185875
16.35346356,99.08753883,96.8144724
3.298053567,31.20572032,40.50241124
2.493900896,31.87021504,26.44858257
2.115212263,33.1381104,50.10082608
1.628215368,12.22133955,57.91963174
-11.48381819,-2.753971856,24.43656122
1.535882891,13.47607179,36.95968121
2.11947279,35.89310278,67.0441084
1.211657504,28.6989438,46.39875699
0.525998132,19.92694075,64.19579704
-1.222800906,11.90675051,74.5350014
-0.768273023,19.32946965,73.27018394
0.07450391,19.75549966,46.27165174
2.050269891,31.88818535,59.75287603
3.266123781,29.12672414,51.47607571
3.294689986,36.61638228,80.95636769
-1.750231442,24.16644775,81.51309359
-17.48381819,-4.753971856,17.43656122
4.258071528,31.39734362,26.42162135
2.005273368,32.82355146,31.73077383
1.793778745,26.83831593,45.69012195
-0.478051954,33.1290154,59.49749683
-1.250005355,24.81386789,65.97509077
4.990537359,25.68198488,43.19597324
-0.102575279,22.82623055,66.72493837
-0.400493986,10.7625738,85.64179886
-0.125161825,13.23674281,65.6409889
1.566023844,10.94287557,31.09956606
2.432430747,29.09231234,60.57682391
-2.079597318,19.43067943,57.93268617
2.456074891,25.25712073,80.94900776
3.34857374,37.22699422,44.52121386
0.511146342,17.47876687,49.6061927
1.837851781,22.31148769,61.90613388
-17.48381819,-4.753971856,17.43656122
0.482154378,16.86394496,70.33116147
1.841479571,12.30939729,22.82722936
1.963463457,18.69254359,59.44612134
1.736892786,14.83663862,28.51703251
2.140831115,37.89092957,42.06462948
2.652179922,34.24361139,66.31388031
